Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Label
-0.790999,-0.840257,-0.985235,-0.096641,0.571699,0.727459,-0.226082,-0.014887,-0.075373,0.253103,0.422875,0.242465,0.534093,0.883368,0.871673,1.02855,0.986061,-0.830546,0.16629,0.312007,0.069676,0.29006,0.530309,0.404824,0.580834,0.505757,Lysosome
-0.789856,-0.827211,-0.800965,-0.959686,-1.228495,-1.405442,-1.423099,-1.093324,1.277911,-0.177906,-0.259872,-0.395356,-0.71386,-0.990827,-1.214403,-1.104591,-1.023481,0.949586,-0.275267,-0.42305,-0.631717,-1.029965,-1.469386,-1.771431,-1.829029,-1.86778,Mitochondria
-0.787913,-0.48336,-0.839587,-0.853032,-0.457912,-0.353478,-0.6885,-0.677566,0.662543,-0.458721,-0.50203,-0.619774,-0.497695,-0.359486,-0.534102,-0.488595,-0.530839,0.518755,-0.484013,-0.523672,-0.61942,-0.382014,-0.008982,-0.19469,-0.285152,-0.302306,Mitochondria
-0.787795,-0.565628,-0.457214,-0.707019,-0.51564,-0.209246,-0.417981,-0.554788,0.524208,-0.597359,-0.655709,-0.761187,-0.895386,-0.997403,-0.961352,-1.068708,-1.078207,1.002112,-0.655056,-0.744266,-0.902205,-1.044951,-1.10467,-1.002168,-1.315109,-1.37824,Actin
-0.783633,-0.776183,-0.78123,-1.175683,-1.305606,-1.002768,-1.133609,-1.012355,1.168966,-0.605602,-0.599058,-0.605535,-0.643744,-0.426619,-0.211926,-0.289694,-0.413083,0.435545,-0.466862,-0.41463,-0.309481,-0.166818,0.380855,0.607399,0.430348,0.369072,Microtubules
-0.783317,-0.698734,-0.533352,-0.801343,-0.635478,-0.612798,-0.653198,-0.586233,0.706558,-0.324681,-0.386039,-0.457324,-0.498624,-0.495321,-0.453151,-0.519201,-0.503378,0.500238,-0.338614,-0.439448,-0.542916,-0.572425,-0.529056,-0.517266,-0.777805,-0.789798,Mitochondria
-0.779639,-0.931329,-1.122664,-0.393689,0.055665,0.737018,-0.381844,-0.18314,0.142163,-0.420574,-0.441686,-0.277006,0.148662,0.677208,0.626017,0.329126,0.193969,-0.272259,-0.474953,-0.516069,-0.334478,0.136513,0.810979,0.687527,0.29607,0.164258,Late_Endosomes
-0.778501,-0.663359,-0.733899,-1.075167,-1.089477,-0.878356,-0.899378,-0.929372,1.019704,-0.734765,-0.853493,-0.973563,-1.142128,-1.19012,-1.182724,-1.315765,-1.408561,1.258517,-0.811676,-0.970093,-1.140612,-1.390391,-1.499946,-1.516835,-1.790798,-1.949436,Microtubules
-0.77749,-0.924425,-0.642373,-0.75161,-0.465184,-0.434227,-0.584444,-0.612794,0.640338,-0.359463,-0.159899,-0.303009,-0.251711,-0.074843,0.056929,-0.007522,-0.102575,0.104663,-0.447479,-0.304184,-0.508174,-0.558392,-0.515684,-0.566695,-0.778697,-0.877565,Mitochondria
-0.775302,-1.200568,-0.986696,-0.407217,-0.083907,0.339271,-0.120811,0.119846,0.150651,-0.202951,-0.231367,0.028035,0.529975,0.780905,0.876905,0.514531,0.381893,-0.500471,-0.075751,-0.16543,0.292097,1.189772,1.56968,2.187914,1.82427,1.554164,Late_Endosomes
-0.77463,-0.903914,-0.740681,-1.044808,-0.991943,-0.736005,-0.702374,-0.657719,0.886159,-0.608316,-0.659276,-0.799679,-0.877977,-0.811804,-0.63813,-0.75069,-0.829838,0.800561,-0.536053,-0.524564,-0.602217,-0.674252,-0.301475,-0.084559,-0.344555,-0.315324,Microtubules
-0.771013,-0.674931,-0.75822,-0.591154,-0.423776,-0.300943,-0.622902,-0.721808,0.605137,-0.566827,-0.577925,-0.464698,-0.441241,-0.380162,-0.177954,-0.346085,-0.444921,0.403397,-0.655294,-0.732999,-0.690719,-0.763568,-0.866474,-0.870301,-1.174433,-1.309687,Mitochondria
-0.769639,-1.028314,-1.001137,-1.214658,-1.774681,-1.952564,-2.077593,-2.075822,1.882282,-0.492997,-0.572154,-0.569287,-0.690973,-0.820332,-0.936201,-0.903164,-0.941088,0.858904,-0.012724,0.241143,0.435197,0.459593,0.55336,0.557343,1.13242,1.065622,Peroxisomes
-0.762974,-0.720341,-0.66066,-0.933251,-1.49997,-1.747371,-1.605993,-1.613682,1.52522,-0.568952,-0.651379,-0.610781,-0.816065,-1.040625,-1.250018,-1.119599,-1.111658,1.052654,-0.654834,-0.788649,-0.825703,-1.138456,-1.523551,-1.791314,-1.704159,-1.64122,Peroxisomes
-0.759747,-0.472443,-0.389327,-0.7529,-0.427138,-0.152793,-0.094008,-0.351956,0.394517,-0.73883,-0.878061,-1.020958,-1.232474,-1.418645,-1.475127,-1.550331,-1.566889,1.440634,-0.817837,-0.997961,-1.196908,-1.462116,-1.533031,-1.492327,-1.750816,-1.822947,Actin
-0.759526,-0.96604,-1.267972,-0.551255,-0.921707,-0.478696,-1.166226,-1.340643,1.005151,0.378852,0.876911,0.658232,0.514886,0.51807,0.380847,0.527125,0.533622,-0.545867,0.327707,0.807576,0.559552,0.361935,0.24906,0.10292,0.258595,0.102794,Lysosome
-0.758726,-0.685943,-0.881829,-1.118185,-1.612304,-1.709815,-1.884917,-1.62903,1.631345,-0.49828,-0.602731,-0.586411,-0.641663,-0.71012,-0.79446,-0.789889,-0.854089,0.773107,-0.610543,-0.78331,-0.86518,-1.051764,-1.353389,-1.606876,-1.764008,-1.883119,Peroxisomes
-0.753218,-0.77509,-0.634789,-0.99792,-0.937098,-0.904892,-0.766655,-1.070885,0.989903,-0.627691,-0.520865,-0.642904,-0.771571,-0.572653,-0.225517,-0.445707,-0.539801,0.535042,-0.508821,-0.157714,-0.307986,-0.296348,0.30946,0.753303,0.373656,0.3493,Microtubules
-0.750881,-0.788307,-0.709873,-0.533418,-0.702508,-0.782263,-0.703994,-0.647486,0.751933,-0.042052,-0.004439,-0.080514,-0.297049,-0.192683,-0.229697,-0.220865,-0.10453,0.178224,-0.026325,-0.005223,-0.063154,-0.363922,-0.127777,-0.240164,-0.339326,-0.159207,Mitochondria
-0.749324,-1.292502,-0.69841,0.351955,0.024352,0.160143,-0.224934,-0.354156,0.152834,-0.148746,-0.33091,0.151899,0.097647,0.366793,0.222241,0.182399,0.31858,-0.205459,-0.194149,-0.391104,0.132966,0.07132,0.316001,0.221519,0.159358,0.112391,Late_Endosomes
-0.746676,-0.637745,-0.474516,-0.883537,-0.895629,-0.694097,-0.879808,-1.05447,0.916088,-0.67024,-0.734843,-0.887633,-1.002088,-1.029986,-0.991232,-1.080579,-1.137245,1.058621,-0.752255,-0.874371,-1.099886,-1.299629,-1.355045,-1.382034,-1.659129,-1.771934,Actin
-0.744324,-0.66226,-0.46299,-0.869396,-0.806723,-0.599714,-0.588098,-0.404415,0.688915,-0.593626,-0.665422,-0.81189,-0.896017,-0.628473,-0.420986,-0.51625,-0.569173,0.630979,-0.41175,-0.516534,-0.584262,-0.455534,0.132939,0.399354,0.172064,0.277407,Microtubules
-0.742386,-0.724735,-0.713338,-1.002183,-0.925984,-0.731077,-0.548485,-0.53392,0.802409,-0.617578,-0.704641,-0.706583,-0.797354,-0.59035,-0.455297,-0.593478,-0.691193,0.659104,-0.5338,-0.612957,-0.5333,-0.573434,-0.053551,0.083012,-0.22885,-0.218529,Microtubules
-0.738007,-0.882905,-0.705848,-0.859142,-0.677471,-0.65354,-0.873546,-0.886867,0.853197,-0.317506,-0.261978,-0.317347,-0.163969,0.401409,0.494311,0.208996,0.198228,-0.160802,-0.235034,-0.160598,-0.170943,0.11705,0.969161,1.015046,0.508132,0.499977,Mitochondria
-0.737734,-1.092355,-1.325246,-0.28774,-0.057058,0.409012,-0.338424,-0.034973,0.199881,-0.360407,-0.263046,-0.226754,0.165788,0.29334,0.357227,0.0527,-0.063991,-0.0722,-0.363739,-0.343268,-0.201984,0.313989,0.391279,0.515637,0.174961,-0.063446,Late_Endosomes
